Fiscal Year,Year Month,Borough,Time View,Is FY Total,Is Month Total,Check Row,Requests,Requests (Daily)
FY2025,2024-10,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2025,2024-10,QUEENS,Current,FALSE,FALSE,1,72675,72675
FY2025,2024-10,QUEENS,FYTD,FALSE,FALSE,1,144265,
FY2025,2024-10,QUEENS,PY,FALSE,FALSE,1,,
FY2025,2024-10,QUEENS,YoY %,FALSE,FALSE,1,,
FY2025,2024-10,STATEN ISLAND,Current,FALSE,FALSE,1,10650,10650
FY2025,2024-10,STATEN ISLAND,FYTD,FALSE,FALSE,1,21046,
FY2025,2024-10,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2025,2024-10,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2025,2024-10,UNKNOWN,Current,FALSE,FALSE,1,210,210
FY2025,2024-10,UNKNOWN,FYTD,FALSE,FALSE,1,441,
FY2025,2024-10,UNKNOWN,PY,FALSE,FALSE,1,,
FY2025,2024-10,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2025,2024-11,BRONX,Current,FALSE,FALSE,1,69098,69098
FY2025,2024-11,BRONX,FYTD,FALSE,FALSE,1,203178,
FY2025,2024-11,BRONX,PY,FALSE,FALSE,1,,
FY2025,2024-11,BRONX,YoY %,FALSE,FALSE,1,,
FY2025,2024-11,BROOKLYN,Current,FALSE,FALSE,1,88073,88073
FY2025,2024-11,BROOKLYN,FYTD,FALSE,FALSE,1,270452,
FY2025,2024-11,BROOKLYN,PY,FALSE,FALSE,1,,
FY2025,2024-11,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2025,2024-11,MANHATTAN,Current,FALSE,FALSE,1,61308,61308
FY2025,2024-11,MANHATTAN,FYTD,FALSE,FALSE,1,192670,
FY2025,2024-11,MANHATTAN,PY,FALSE,FALSE,1,,
FY2025,2024-11,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2025,2024-11,QUEENS,Current,FALSE,FALSE,1,65248,65248
FY2025,2024-11,QUEENS,FYTD,FALSE,FALSE,1,209513,
FY2025,2024-11,QUEENS,PY,FALSE,FALSE,1,,
FY2025,2024-11,QUEENS,YoY %,FALSE,FALSE,1,,
FY2025,2024-11,STATEN ISLAND,Current,FALSE,FALSE,1,9591,9591
FY2025,2024-11,STATEN ISLAND,FYTD,FALSE,FALSE,1,30637,
FY2025,2024-11,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2025,2024-11,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2025,2024-11,UNKNOWN,Current,FALSE,FALSE,1,197,197
FY2025,2024-11,UNKNOWN,FYTD,FALSE,FALSE,1,638,
FY2025,2024-11,UNKNOWN,PY,FALSE,FALSE,1,,
FY2025,2024-11,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2025,2024-12,BRONX,Current,FALSE,FALSE,1,87331,87331
FY2025,2024-12,BRONX,FYTD,FALSE,FALSE,1,290509,
FY2025,2024-12,BRONX,PY,FALSE,FALSE,1,,
FY2025,2024-12,BRONX,YoY %,FALSE,FALSE,1,,
FY2025,2024-12,BROOKLYN,Current,FALSE,FALSE,1,89559,89559
FY2025,2024-12,BROOKLYN,FYTD,FALSE,FALSE,1,360011,
FY2025,2024-12,BROOKLYN,PY,FALSE,FALSE,1,,
FY2025,2024-12,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2025,2024-12,MANHATTAN,Current,FALSE,FALSE,1,62296,62296
FY2025,2024-12,MANHATTAN,FYTD,FALSE,FALSE,1,254966,
FY2025,2024-12,MANHATTAN,PY,FALSE,FALSE,1,,
FY2025,2024-12,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2025,2024-12,QUEENS,Current,FALSE,FALSE,1,65512,65512
FY2025,2024-12,QUEENS,FYTD,FALSE,FALSE,1,275025,
FY2025,2024-12,QUEENS,PY,FALSE,FALSE,1,,
FY2025,2024-12,QUEENS,YoY %,FALSE,FALSE,1,,
FY2025,2024-12,STATEN ISLAND,Current,FALSE,FALSE,1,9037,9037
FY2025,2024-12,STATEN ISLAND,FYTD,FALSE,FALSE,1,39674,
FY2025,2024-12,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2025,2024-12,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2025,2024-12,UNKNOWN,Current,FALSE,FALSE,1,214,214
FY2025,2024-12,UNKNOWN,FYTD,FALSE,FALSE,1,852,
FY2025,2024-12,UNKNOWN,PY,FALSE,FALSE,1,,
FY2025,2024-12,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2025,2025-01,BRONX,Current,FALSE,FALSE,1,115111,115111
FY2025,2025-01,BRONX,FYTD,FALSE,FALSE,1,405620,
FY2025,2025-01,BRONX,PY,FALSE,FALSE,1,,
FY2025,2025-01,BRONX,YoY %,FALSE,FALSE,1,,
FY2025,2025-01,BROOKLYN,Current,FALSE,FALSE,1,92911,92911
FY2025,2025-01,BROOKLYN,FYTD,FALSE,FALSE,1,452922,
FY2025,2025-01,BROOKLYN,PY,FALSE,FALSE,1,,
FY2025,2025-01,BROOKLYN,YoY %,FALSE,FALSE,1,,
FY2025,2025-01,MANHATTAN,Current,FALSE,FALSE,1,61331,61331
FY2025,2025-01,MANHATTAN,FYTD,FALSE,FALSE,1,316297,
FY2025,2025-01,MANHATTAN,PY,FALSE,FALSE,1,,
FY2025,2025-01,MANHATTAN,YoY %,FALSE,FALSE,1,,
FY2025,2025-01,QUEENS,Current,FALSE,FALSE,1,68525,68525
FY2025,2025-01,QUEENS,FYTD,FALSE,FALSE,1,343550,
FY2025,2025-01,QUEENS,PY,FALSE,FALSE,1,,
FY2025,2025-01,QUEENS,YoY %,FALSE,FALSE,1,,
FY2025,2025-01,STATEN ISLAND,Current,FALSE,FALSE,1,10125,10125
FY2025,2025-01,STATEN ISLAND,FYTD,FALSE,FALSE,1,49799,
FY2025,2025-01,STATEN ISLAND,PY,FALSE,FALSE,1,,
FY2025,2025-01,STATEN ISLAND,YoY %,FALSE,FALSE,1,,
FY2025,2025-01,UNKNOWN,Current,FALSE,FALSE,1,177,177
FY2025,2025-01,UNKNOWN,FYTD,FALSE,FALSE,1,1029,
FY2025,2025-01,UNKNOWN,PY,FALSE,FALSE,1,,
FY2025,2025-01,UNKNOWN,YoY %,FALSE,FALSE,1,,
FY2025,2025-02,BRONX,Current,FALSE,FALSE,1,58130,58130
FY2025,2025-02,BRONX,FYTD,FALSE,FALSE,1,463750,
FY2025,2025-02,BRONX,PY,FALSE,FALSE,1,,
FY2025,2025-02,BRONX,YoY %,FALSE,FALSE,1,,
FY2025,2025-02,BROOKLYN,Current,FALSE,FALSE,1,77739,77739
